LotShape,LotConfig,Neighborhood,HouseStyle,YearRemodAdd,BsmtFinType1,HeatingQC,FullBath,HalfBath,GarageType,GarageFinish,MoSold,YrSold,SalePrice
3,4,5,5,2003,2,0,2,1,1,1,2,2008,208500
3,2,24,2,1976,0,0,2,0,1,1,5,2007,181500
0,4,5,5,2002,2,0,2,1,1,1,9,2008,223500
0,0,6,5,1970,0,2,1,0,5,2,2,2006,140000
0,2,15,5,2000,2,0,2,1,1,1,12,2008,250000
0,4,11,0,1995,2,0,1,1,1,2,10,2009,143000
3,4,21,2,2005,2,0,2,0,1,1,8,2007,307000
0,0,14,5,1973,0,0,2,1,1,1,11,2009,200000
3,4,17,0,1950,5,2,2,0,5,2,4,2008,129900
3,0,3,1,1950,2,0,1,0,1,1,1,2008,118000
3,4,19,2,1965,4,0,1,0,5,2,2,2008,129500
0,4,16,5,2006,2,0,3,0,3,0,7,2006,345000
1,4,19,2,1962,0,4,1,0,5,2,9,2008,144000
0,4,5,2,2007,5,0,2,0,1,1,8,2007,279500
0,0,12,2,1960,1,4,1,1,1,1,5,2008,157000
3,0,3,1,2001,5,0,1,0,5,2,7,2007,132000
0,1,12,2,1970,0,0,1,0,1,0,3,2010,149000
3,4,19,2,1967,5,4,2,0,4,2,10,2006,90000
3,4,20,2,2004,2,0,1,1,5,2,6,2008,159000
3,4,12,2,1965,3,4,1,0,1,2,5,2009,139000
0,0,16,5,2006,5,0,3,1,3,1,11,2006,325300
3,4,9,1,1950,5,0,1,0,1,2,6,2007,139400
3,4,5,2,2002,5,0,2,0,1,1,9,2008,230000
3,4,10,2,1976,2,4,1,0,1,2,6,2007,129900
0,4,19,2,2001,4,0,1,0,1,2,5,2010,154000
3,0,16,2,2007,5,0,2,0,1,1,7,2009,256300
3,0,12,2,2000,1,4,1,0,5,2,5,2010,134800
3,4,16,2,2008,2,0,2,0,1,1,5,2010,306000
0,1,12,2,1997,1,4,1,0,1,1,12,2006,207500
0,4,3,2,1950,5,1,1,0,5,2,5,2008,68500
3,4,9,5,1950,5,4,1,0,5,2,7,2008,40000
0,1,19,2,2006,5,2,1,1,1,2,6,2008,149350
3,0,5,2,2007,5,0,2,0,1,1,1,2008,179900
0,4,12,2,1959,4,2,1,1,1,1,4,2010,165500
3,4,16,2,2005,2,0,2,0,1,0,8,2007,277500
3,4,16,5,2005,5,0,3,1,3,0,9,2006,309000
3,0,5,2,1995,5,0,1,1,1,2,6,2009,145000
3,4,12,2,1990,4,2,1,0,1,0,10,2009,153000
3,4,12,2,2007,2,4,1,0,5,2,1,2010,109000
3,4,7,2,1955,5,4,2,0,1,2,6,2008,82000
3,4,12,2,1965,4,0,2,0,1,1,12,2006,160000
3,4,23,2,1959,1,2,1,1,1,1,7,2007,170000
0,1,20,6,1983,0,2,1,0,1,1,12,2007,144000
0,1,5,2,1980,3,4,1,0,5,2,7,2008,130250
3,4,12,2,1959,0,0,1,0,1,1,5,2006,141000
3,4,16,2,2005,2,0,2,0,1,1,2,2010,319900
0,1,11,0,2003,2,0,1,1,1,1,8,2009,239686
3,4,21,2,2006,2,0,2,0,1,1,7,2007,249700
3,4,17,5,2008,5,2,2,0,1,2,6,2009,113000
3,4,19,2,1966,1,0,1,0,1,2,1,2007,127000
1,0,8,5,1997,2,2,2,0,1,0,7,2007,177000
3,4,3,0,1950,5,4,1,0,5,2,9,2006,114500
1,0,9,2,1963,3,4,1,0,4,2,5,2010,110000
0,4,24,2,1987,2,2,0,1,1,0,11,2006,385000
3,4,12,7,1955,0,4,1,0,5,2,2,2007,130000
0,4,12,2,1964,1,2,2,0,1,1,7,2008,180500
3,4,21,5,2000,2,0,2,1,1,0,8,2009,172500
0,0,5,5,2004,5,0,2,1,1,1,8,2006,196500
1,1,22,5,2006,5,0,3,1,3,0,10,2006,438780
3,4,5,2,1972,0,0,1,0,5,2,1,2008,124900
3,4,20,2,2004,0,0,1,1,5,2,5,2006,158000
3,4,9,4,1996,5,4,1,0,5,2,3,2007,101000
0,4,16,2,2006,2,0,2,0,1,1,10,2007,202500
0,4,17,5,1950,5,2,2,0,5,2,4,2010,140000
3,4,5,5,1998,2,0,2,1,1,1,2,2009,219500
3,4,16,5,2005,5,0,2,1,3,1,10,2007,317000
3,4,12,2,1989,2,4,2,0,1,1,7,2010,180000
0,4,5,2,2003,2,0,2,0,1,1,6,2007,226000
3,0,17,2,1950,5,4,1,0,1,2,6,2010,80000
3,0,4,0,1953,1,4,2,0,1,0,7,2006,225000
0,4,12,2,1973,0,0,2,0,1,0,2,2007,244000
3,0,11,2,2006,0,4,1,0,5,2,6,2007,129500
0,0,8,5,1998,5,2,2,1,1,0,12,2009,185000
3,4,12,2,2003,0,2,1,0,1,2,5,2010,144900
3,0,17,5,1950,5,2,2,0,5,2,5,2010,107400
3,4,10,7,1973,2,4,1,0,3,2,11,2009,91000
0,4,12,2,1956,0,0,1,0,5,2,4,2008,135750
3,4,3,0,2001,1,4,1,0,5,2,1,2008,127000
3,4,19,2,1968,5,4,2,0,1,2,4,2010,136500
3,0,17,5,1981,5,2,1,1,5,2,5,2009,110000
3,0,12,5,1968,4,4,2,1,1,0,6,2009,193500
3,2,11,2,1998,2,0,2,0,1,0,3,2006,153500
3,4,21,2,2007,2,0,2,0,1,1,10,2008,245000
0,4,12,2,1960,5,2,1,1,5,2,7,2007,126500
0,4,8,7,1996,5,2,2,1,3,0,5,2009,168500
3,0,15,5,1992,5,0,2,1,1,2,4,2006,260000
1,4,8,5,2005,5,0,2,1,3,0,3,2009,174000
3,0,21,5,2009,5,0,2,1,5,1,6,2009,164500
0,0,9,0,1982,5,4,1,0,1,2,10,2009,85000
3,4,5,2,1995,2,0,1,0,1,2,8,2007,123600
3,4,12,2,1950,5,4,1,0,5,2,7,2006,109900
3,4,12,2,1961,4,4,1,0,1,2,12,2006,98600
0,4,6,2,2006,0,0,1,0,5,2,8,2009,163500
3,0,17,4,1998,4,0,2,0,5,2,11,2007,133900
0,4,5,5,1997,2,0,2,1,1,1,5,2007,204750
1,0,8,5,1993,0,2,2,1,3,0,4,2009,185000
0,4,5,2,1999,0,0,2,0,1,1,8,2006,214000
3,4,7,2,1965,4,4,1,0,1,0,5,2007,94750
3,0,7,2,1950,0,1,1,0,2,2,5,2010,83000
0,4,12,2,1959,0,1,1,1,1,2,1,2010,128950
